symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
F,2017-09-29 00:00:00+00:00,11.97,12.02,11.92,11.97,31168622,9.9962414291,10.0379968236,9.9544860347,9.9962414291,31168622,0.0,1.0
F,2017-10-02 00:00:00+00:00,12.09,12.09,11.97,12.0,35975196,10.0964543758,10.0964543758,9.9962414291,10.0212946658,35975196,0.0,1.0
F,2017-10-03 00:00:00+00:00,12.34,12.43,12.22,12.32,65357942,10.305231348,10.380391058,10.2050184014,10.2885291902,65357942,0.0,1.0
F,2017-10-04 00:00:00+00:00,12.3,12.46,12.28,12.33,52612106,10.2718270325,10.4054442947,10.2551248747,10.2968802691,52612106,0.0,1.0
F,2017-10-05 00:00:00+00:00,12.25,12.36,12.15,12.34,47572185,10.230071638,10.3219335058,10.1465608491,10.305231348,47572185,0.0,1.0
F,2017-10-06 00:00:00+00:00,12.31,12.33,12.1925,12.2,35004893,10.2801781113,10.2968802691,10.1820529344,10.1883162436,35004893,0.0,1.0
F,2017-10-09 00:00:00+00:00,12.34,12.41,12.25,12.33,28919504,10.305231348,10.3636889002,10.230071638,10.2968802691,28919504,0.0,1.0
F,2017-10-10 00:00:00+00:00,12.39,12.42,12.25,12.34,39383585,10.3469867425,10.3720399791,10.230071638,10.305231348,39383585,0.0,1.0
F,2017-10-11 00:00:00+00:00,12.38,12.43,12.31,12.38,34458525,10.3386356636,10.380391058,10.2801781113,10.3386356636,34458525,0.0,1.0
F,2017-10-12 00:00:00+00:00,12.12,12.32,12.11,12.3,45777768,10.1215076125,10.2885291902,10.1131565336,10.2718270325,45777768,0.0,1.0
F,2017-10-13 00:00:00+00:00,12.05,12.17,11.87,12.06,44563367,10.0630500603,10.1632630069,9.9127306403,10.0714011391,44563367,0.0,1.0
F,2017-10-16 00:00:00+00:00,12.12,12.15,11.96,11.99,32338252,10.1215076125,10.1465608491,9.9878903503,10.0129435869,32338252,0.0,1.0
F,2017-10-17 00:00:00+00:00,12.27,12.31,12.12,12.13,54207764,10.2467737958,10.2801781113,10.1215076125,10.1298586914,54207764,0.0,1.0
F,2017-10-18 00:00:00+00:00,12.19,12.35,12.17,12.28,30321801,10.1799651647,10.3135824269,10.1632630069,10.2551248747,30321801,0.0,1.0
F,2017-10-19 00:00:00+00:00,12.23,12.25,12.05,12.14,29552200,10.2133694802,10.230071638,10.0630500603,10.1382097702,29552200,0.0,1.0
F,2017-10-20 00:00:00+00:00,12.1,12.14,12.0,12.12,28028757,10.230071638,10.2638900567,10.1455255914,10.2469808473,28028757,0.15,1.0
F,2017-10-23 00:00:00+00:00,12.04,12.19,12.04,12.11,21468660,10.1793440101,10.30616308,10.1793440101,10.2385262427,21468660,0.0,1.0
F,2017-10-24 00:00:00+00:00,12.19,12.26,12.0909,12.11,34108276,10.30616308,10.3653453126,10.2223779478,10.2385262427,34108276,0.0,1.0
F,2017-10-25 00:00:00+00:00,12.07,12.15,11.97,12.15,38405356,10.204707824,10.2723446613,10.1201617774,10.2723446613,38405356,0.0,1.0
F,2017-10-26 00:00:00+00:00,12.27,12.34,12.06,12.2,46756351,10.3737999172,10.4329821498,10.1962532194,10.3146176846,46756351,0.0,1.0
F,2017-10-27 00:00:00+00:00,12.06,12.24,12.0101,12.23,33744431,10.1962532194,10.3484361033,10.1540647421,10.3399814986,33744431,0.0,1.0
F,2017-10-30 00:00:00+00:00,12.1,12.15,11.95,12.01,36321150,10.230071638,10.2723446613,10.1032525681,10.1539801961,36321150,0.0,1.0
F,2017-10-31 00:00:00+00:00,12.27,12.3,12.129,12.15,41867345,10.3737999172,10.3991637312,10.2545899915,10.2723446613,41867345,0.0,1.0
F,2017-11-01 00:00:00+00:00,12.35,12.47,12.2752,12.4,43400593,10.4414367545,10.5428920104,10.3781963117,10.4837097778,43400593,0.0,1.0
F,2017-11-02 00:00:00+00:00,12.42,12.43,12.26,12.33,39384647,10.5006189871,10.5090735918,10.3653453126,10.4245275452,39384647,0.0,1.0
F,2017-11-03 00:00:00+00:00,12.36,12.46,12.32,12.41,33096611,10.4498913592,10.5344374058,10.4160729405,10.4921643825,33096611,0.0,1.0
F,2017-11-06 00:00:00+00:00,12.33,12.43,12.3,12.36,20154894,10.4245275452,10.5090735918,10.3991637312,10.4498913592,20154894,0.0,1.0
F,2017-11-07 00:00:00+00:00,12.16,12.38,12.11,12.35,41416484,10.280799266,10.4668005685,10.2385262427,10.4414367545,41416484,0.0,1.0
F,2017-11-08 00:00:00+00:00,12.06,12.16,12.01,12.14,33450597,10.1962532194,10.280799266,10.1539801961,10.2638900567,33450597,0.0,1.0
F,2017-11-09 00:00:00+00:00,12.04,12.05,11.93,12.01,26052942,10.1793440101,10.1877986147,10.0863433588,10.1539801961,26052942,0.0,1.0
F,2017-11-10 00:00:00+00:00,12.01,12.09,11.98,12.0,30254556,10.1539801961,10.2216170334,10.1286163821,10.1455255914,30254556,0.0,1.0
F,2017-11-13 00:00:00+00:00,12.16,12.22,11.97,12.01,30409214,10.280799266,10.3315268939,10.1201617774,10.1539801961,30409214,0.0,1.0
F,2017-11-14 00:00:00+00:00,12.02,12.16,11.99,12.1,24115241,10.1624348007,10.280799266,10.1370709868,10.230071638,24115241,0.0,1.0
F,2017-11-15 00:00:00+00:00,12.0,12.03,11.87,11.97,27943551,10.1455255914,10.1708894054,10.0356157308,10.1201617774,27943551,0.0,1.0
F,2017-11-16 00:00:00+00:00,12.04,12.05,11.93,12.0,28180747,10.1793440101,10.1877986147,10.0863433588,10.1455255914,28180747,0.0,1.0
F,2017-11-17 00:00:00+00:00,12.01,12.06,11.985,12.02,31007891,10.1539801961,10.1962532194,10.1328436844,10.1624348007,31007891,0.0,1.0
F,2017-11-20 00:00:00+00:00,12.13,12.15,12.02,12.03,32352040,10.255435452,10.2723446613,10.1624348007,10.1708894054,32352040,0.0,1.0
F,2017-11-21 00:00:00+00:00,12.12,12.225,12.12,12.14,26751829,10.2469808473,10.3357541963,10.2469808473,10.2638900567,26751829,0.0,1.0
F,2017-11-22 00:00:00+00:00,12.07,12.15,12.05,12.11,34006793,10.204707824,10.2723446613,10.1877986147,10.2385262427,34006793,0.0,1.0
F,2017-11-24 00:00:00+00:00,12.1,12.15,12.03,12.1,9549629,10.230071638,10.2723446613,10.1708894054,10.230071638,9549629,0.0,1.0
F,2017-11-27 00:00:00+00:00,12.11,12.19,12.06,12.09,28518142,10.2385262427,10.30616308,10.1962532194,10.2216170334,28518142,0.0,1.0
F,2017-11-28 00:00:00+00:00,12.21,12.24,12.08,12.15,32540990,10.3230722893,10.3484361033,10.2131624287,10.2723446613,32540990,0.0,1.0
F,2017-11-29 00:00:00+00:00,12.56,12.57,12.23,12.24,64865974,10.6189834524,10.627438057,10.3399814986,10.3484361033,64865974,0.0,1.0
F,2017-11-30 00:00:00+00:00,12.52,12.65,12.42,12.53,49224189,10.5851650337,10.6950748943,10.5006189871,10.5936196384,49224189,0.0,1.0
F,2017-12-01 00:00:00+00:00,12.58,12.7,12.35,12.62,52458736,10.6358926617,10.7373479176,10.4414367545,10.6697110803,52458736,0.0,1.0
F,2017-12-04 00:00:00+00:00,12.63,12.81,12.59,12.65,39394346,10.678165685,10.8303485688,10.6443472663,10.6950748943,39394346,0.0,1.0
F,2017-12-05 00:00:00+00:00,12.43,12.62,12.4,12.61,44378959,10.5090735918,10.6697110803,10.4837097778,10.6612564757,44378959,0.0,1.0
F,2017-12-06 00:00:00+00:00,12.38,12.43,12.28,12.4,25879892,10.4668005685,10.5090735918,10.3822545219,10.4837097778,25879892,0.0,1.0
F,2017-12-07 00:00:00+00:00,12.53,12.59,12.33,12.395,25404223,10.5936196384,10.6443472663,10.4245275452,10.4794824755,25404223,0.0,1.0
F,2017-12-08 00:00:00+00:00,12.61,12.61,12.43,12.53,21217510,10.6612564757,10.6612564757,10.5090735918,10.5936196384,21217510,0.0,1.0
F,2017-12-11 00:00:00+00:00,12.58,12.63,12.51,12.57,42574018,10.6358926617,10.678165685,10.5767104291,10.627438057,42574018,0.0,1.0
F,2017-12-12 00:00:00+00:00,12.6,12.64,12.51,12.56,52978559,10.652801871,10.6866202896,10.5767104291,10.6189834524,52978559,0.0,1.0
F,2017-12-13 00:00:00+00:00,12.63,12.73,12.59,12.61,31753369,10.678165685,10.7627117316,10.6443472663,10.6612564757,31753369,0.0,1.0
F,2017-12-14 00:00:00+00:00,12.46,12.69,12.41,12.65,36255610,10.5344374058,10.7288933129,10.4921643825,10.6950748943,36255610,0.0,1.0
F,2017-12-15 00:00:00+00:00,12.58,12.66,12.5,12.51,47383835,10.6358926617,10.703529499,10.5682558244,10.5767104291,47383835,0.0,1.0
F,2017-12-18 00:00:00+00:00,12.66,12.75,12.61,12.66,24336819,10.703529499,10.7796209409,10.6612564757,10.703529499,24336819,0.0,1.0
F,2017-12-19 00:00:00+00:00,12.69,12.78,12.66,12.71,22329158,10.7288933129,10.8049847549,10.703529499,10.7458025222,22329158,0.0,1.0
F,2017-12-20 00:00:00+00:00,12.72,12.75,12.65,12.72,18953008,10.7542571269,10.7796209409,10.6950748943,10.7542571269,18953008,0.0,1.0
F,2017-12-21 00:00:00+00:00,12.63,12.77,12.63,12.74,20599414,10.678165685,10.7965301502,10.678165685,10.7711663362,20599414,0.0,1.0
F,2017-12-22 00:00:00+00:00,12.58,12.66,12.56,12.66,17829251,10.6358926617,10.703529499,10.6189834524,10.703529499,17829251,0.0,1.0
F,2017-12-26 00:00:00+00:00,12.6,12.65,12.55,12.57,11422717,10.652801871,10.6950748943,10.6105288477,10.627438057,11422717,0.0,1.0
F,2017-12-27 00:00:00+00:00,12.5,12.58,12.45,12.57,16285381,10.5682558244,10.6358926617,10.5259828011,10.627438057,16285381,0.0,1.0
F,2017-12-28 00:00:00+00:00,12.58,12.58,12.47,12.48,14398900,10.6358926617,10.6358926617,10.5428920104,10.5513466151,14398900,0.0,1.0
F,2017-12-29 00:00:00+00:00,12.49,12.61,12.49,12.58,18084247,10.5598012197,10.6612564757,10.5598012197,10.6358926617,18084247,0.0,1.0
F,2018-01-02 00:00:00+00:00,12.66,12.66,12.5,12.52,19363635,10.703529499,10.703529499,10.5682558244,10.5851650337,19363635,0.0,1.0
F,2018-01-03 00:00:00+00:00,12.76,12.8,12.67,12.68,29727425,10.7880755455,10.8218939642,10.7119841036,10.7204387083,29727425,0.0,1.0
F,2018-01-04 00:00:00+00:00,12.98,13.04,12.77,12.78,36950722,10.9740768481,11.024804476,10.7965301502,10.8049847549,36950722,0.0,1.0
F,2018-01-05 00:00:00+00:00,13.2,13.22,13.04,13.06,46055496,11.1600781506,11.1769873599,11.024804476,11.0417136853,46055496,0.0,1.0
F,2018-01-08 00:00:00+00:00,13.15,13.22,13.11,13.21,33001367,11.1178051273,11.1769873599,11.0839867086,11.1685327552,33001367,0.0,1.0
F,2018-01-09 00:00:00+00:00,13.08,13.22,13.08,13.18,27849273,11.0586228947,11.1769873599,11.0586228947,11.1431689412,27849273,0.0,1.0
F,2018-01-10 00:00:00+00:00,13.03,13.14,12.96,13.06,56481303,11.0163498714,11.1093505226,10.9571676387,11.0417136853,56481303,0.0,1.0
F,2018-01-11 00:00:00+00:00,13.16,13.2,13.0,13.02,27392397,11.1262597319,11.1600781506,10.9909860574,11.0078952667,27392397,0.0,1.0
F,2018-01-12 00:00:00+00:00,13.23,13.29,13.1,13.1,56670361,11.1854419645,11.2361695925,11.075532104,11.075532104,56670361,0.0,1.0
F,2018-01-16 00:00:00+00:00,13.1,13.48,13.01,13.31,51999014,11.075532104,11.396807081,10.999440662,11.2530788018,51999014,0.0,1.0
F,2018-01-17 00:00:00+00:00,12.18,12.58,12.1,12.58,130855595,10.2977084753,10.6358926617,10.230071638,10.6358926617,130855595,0.0,1.0
F,2018-01-18 00:00:00+00:00,12.07,12.2,12.02,12.18,63714437,10.204707824,10.3146176846,10.1624348007,10.2977084753,63714437,0.0,1.0
F,2018-01-19 00:00:00+00:00,12.0,12.12,11.91,12.12,50952518,10.1455255914,10.2469808473,10.0694341495,10.2469808473,50952518,0.0,1.0
F,2018-01-22 00:00:00+00:00,12.02,12.08,11.9,12.02,51313140,10.1624348007,10.2131624287,10.0609795448,10.1624348007,51313140,0.0,1.0
F,2018-01-23 00:00:00+00:00,11.96,12.03,11.9,12.03,51519899,10.1117071728,10.1708894054,10.0609795448,10.1708894054,51519899,0.0,1.0
F,2018-01-24 00:00:00+00:00,12.05,12.09,11.92,12.0,63229276,10.1877986147,10.2216170334,10.0778887541,10.1455255914,63229276,0.0,1.0
F,2018-01-25 00:00:00+00:00,11.57,11.93,11.44,11.93,114628291,9.7819775911,10.0863433588,9.6720677305,10.0863433588,114628291,0.0,1.0
F,2018-01-26 00:00:00+00:00,11.65,11.7,11.5,11.59,51954856,9.8496144283,9.8918874516,9.7227953584,9.7988868004,51954856,0.0,1.0
F,2018-01-29 00:00:00+00:00,11.12,11.47,11.11,11.42,54162248,9.6382493119,9.9416114754,9.6295818215,9.8982740235,54162248,0.28,1.0
F,2018-01-30 00:00:00+00:00,11.06,11.23,11.05,11.09,51874523,9.5862443695,9.7335917061,9.5775768791,9.6122468407,51874523,0.0,1.0
F,2018-01-31 00:00:00+00:00,10.97,11.12,10.9,11.09,57017161,9.508236956,9.6382493119,9.4475645233,9.6122468407,57017161,0.0,1.0
F,2018-02-01 00:00:00+00:00,10.92,11.0,10.85,10.95,41314373,9.4648995041,9.5342394272,9.4042270714,9.4909019753,41314373,0.0,1.0
F,2018-02-02 00:00:00+00:00,10.71,10.88,10.62,10.88,72107397,9.2828822059,9.4302295425,9.2048747924,9.4302295425,72107397,0.0,1.0
F,2018-02-05 00:00:00+00:00,10.24,10.8,10.24,10.78,95955882,8.8755101577,9.3608896194,8.8755101577,9.3435546386,95955882,0.0,1.0
F,2018-02-06 00:00:00+00:00,10.76,10.79,10.19,10.27,119182901,9.3262196579,9.352222129,8.8321727057,8.9015126288,119182901,0.0,1.0
F,2018-02-07 00:00:00+00:00,10.76,11.04,10.7,10.75,67900092,9.3262196579,9.5689093887,9.2742147155,9.3175521675,67900092,0.0,1.0
F,2018-02-08 00:00:00+00:00,10.43,10.86,10.42,10.79,72017606,9.0401924751,9.4128945618,9.0315249847,9.352222129,72017606,0.0,1.0
F,2018-02-09 00:00:00+00:00,10.53,10.64,10.24,10.57,71878374,9.1268673789,9.2222097732,8.8755101577,9.1615373405,71878374,0.0,1.0
F,2018-02-12 00:00:00+00:00,10.7,10.82,10.54,10.67,48938097,9.2742147155,9.3782246002,9.1355348693,9.2482122444,48938097,0.0,1.0
F,2018-02-13 00:00:00+00:00,10.59,10.69,10.53,10.63,36445070,9.1788723213,9.2655472252,9.1268673789,9.2135422828,36445070,0.0,1.0
F,2018-02-14 00:00:00+00:00,10.74,10.75,10.5,10.55,27666066,9.3088846771,9.3175521675,9.1008649078,9.1442023597,27666066,0.0,1.0
F,2018-02-15 00:00:00+00:00,10.76,10.8,10.64,10.8,28151939,9.3262196579,9.3608896194,9.2222097732,9.3608896194,28151939,0.0,1.0
F,2018-02-16 00:00:00+00:00,10.61,10.82,10.52,10.7,40881438,9.196207302,9.3782246002,9.1181998886,9.2742147155,40881438,0.0,1.0
F,2018-02-20 00:00:00+00:00,10.63,10.67,10.55,10.58,27543983,9.2135422828,9.2482122444,9.1442023597,9.1702048309,27543983,0.0,1.0
F,2018-02-21 00:00:00+00:00,10.6,10.75,10.59,10.65,35889164,9.1875398117,9.3175521675,9.1788723213,9.2308772636,35889164,0.0,1.0
F,2018-02-22 00:00:00+00:00,10.63,10.73,10.56,10.6,25117902,9.2135422828,9.3002171867,9.1528698501,9.1875398117,25117902,0.0,1.0
F,2018-02-23 00:00:00+00:00,10.7,10.71,10.62,10.67,21406094,9.2742147155,9.2828822059,9.2048747924,9.2482122444,21406094,0.0,1.0
F,2018-02-26 00:00:00+00:00,10.89,10.95,10.7,10.74,27038527,9.4388970329,9.4909019753,9.2742147155,9.3088846771,27038527,0.0,1.0
F,2018-02-27 00:00:00+00:00,10.61,10.99,10.6,10.93,42972835,9.196207302,9.5255719368,9.1875398117,9.4735669945,42972835,0.0,1.0
F,2018-02-28 00:00:00+00:00,10.61,10.79,10.57,10.68,41225487,9.196207302,9.352222129,9.1615373405,9.2568797348,41225487,0.0,1.0
F,2018-03-01 00:00:00+00:00,10.29,10.69,10.2,10.65,75841414,8.9188476096,9.2655472252,8.8408401961,9.2308772636,75841414,0.0,1.0
F,2018-03-02 00:00:00+00:00,10.4,10.42,10.14,10.24,60491864,9.0141900039,9.0315249847,8.7888352538,8.8755101577,60491864,0.0,1.0
F,2018-03-05 00:00:00+00:00,10.58,10.63,10.3,10.31,44021329,9.1702048309,9.2135422828,8.9275151,8.9361825904,44021329,0.0,1.0
F,2018-03-06 00:00:00+00:00,10.63,10.68,10.47,10.65,30978946,9.2135422828,9.2568797348,9.0748624366,9.2308772636,30978946,0.0,1.0
F,2018-03-07 00:00:00+00:00,10.63,10.64,10.43,10.51,30046598,9.2135422828,9.2222097732,9.0401924751,9.1095323982,30046598,0.0,1.0
F,2018-03-08 00:00:00+00:00,10.61,10.68,10.48,10.65,26486902,9.196207302,9.2568797348,9.083529927,9.2308772636,26486902,0.0,1.0
F,2018-03-09 00:00:00+00:00,10.73,10.73,10.57,10.63,25694026,9.3002171867,9.3002171867,9.1615373405,9.2135422828,25694026,0.0,1.0
F,2018-03-12 00:00:00+00:00,10.81,10.85,10.68,10.69,32841806,9.3695571098,9.4042270714,9.2568797348,9.2655472252,32841806,0.0,1.0
F,2018-03-13 00:00:00+00:00,10.78,10.98,10.73,10.84,42887471,9.3435546386,9.5169044464,9.3002171867,9.395559581,42887471,0.0,1.0
F,2018-03-14 00:00:00+00:00,11.02,11.44,11.01,11.25,91444196,9.551574408,9.9156090043,9.5429069176,9.7509266869,91444196,0.0,1.0
